"State","SexRatio"
"Alaska","109.3000"
"North Dakota","105"
"Wyoming","104"
"South Dakota","101.7000"
"Utah","101.4000"
"Colorado","101.3000"
"Montana","101.2000"
"Nevada","100.7000"
"Hawaii","100.6000"
"Idaho","100.5000"
"Washington","100.1000"
"Nebraska","99.5000"
"Kansas","99.4000"
"Minnesota","99.2000"
"Wisconsin","98.9000"
"California","98.8000"
"Arizona","98.8000"
"Texas","98.6000"
"Iowa","98.6000"
"Oregon","98.3000"
"Oklahoma","98.3000"
"New Mexico","98.1000"
"New Hampshire","98.1000"
"West Virginia","97.8000"
"Vermont","97.4000"
"Indiana","97.2000"
"Kentucky","97"
"Michigan","96.9000"
"Virginia","96.8000"
"Illinois","96.5000"
"Missouri","96.4000"
"Arkansas","96.3000"
"Ohio","96.1000"
"Pennsylvania","96"
"Maine","95.9000"
"Florida","95.7000"
"Louisiana","95.5000"
"New Jersey","95.4000"
"Tennessee","95.3000"
"Connecticut","95.3000"
"North Carolina","94.8000"
"Georgia","94.8000"
"Rhode Island","94.5000"
"New York","94.3000"
"Massachusetts","94.3000"
"South Carolina","94.2000"
"Mississippi","94.2000"
"Maryland","94.1000"
"Alabama","93.7000"
"Delaware","93.6000"